source,PM10,NH3,NOx,SO2,COV
agricoltura/allevamenti,418,49299,637,0,59
merci su strada,2636,54,45202,173,3263
riscaldamento (a legna),5316,154,1517,200,27460
veicoli leggeri,1842,774,15086,191,4008
industria,1614,1107,15299,14315,54485
produzione di energia,86,0,9482,430,1534
riscaldamento (non legna),80,0,7212,995,849
altro,1646,135,12309,1196,7344
